,pred
2021-11-01,289094.8243772255
2021-11-02,226997.836925678
2021-11-03,242297.45355686056
2021-11-04,278666.17470391805
2021-11-05,303946.51529460924
2021-11-06,319438.9927761309
2021-11-07,315691.82408545655
2021-11-08,296595.1579663012
2021-11-09,280910.31597672263
2021-11-10,279610.19555442163
2021-11-11,287503.89499818685
2021-11-12,295814.7571847491
2021-11-13,299828.88510755624
2021-11-14,298702.33837553504
2021-11-15,294492.1657707493
